airline_id,airline_code,airline_name
15893,1QA,Marysya Airlines
16262,3FF,Fly Colombia ( Interliging Flights )
21,AAF,Aigle Azur
24,AAL,American Airlines
28,AAR,Asiana Airlines
29,AAS,Askari Aviation
32,AAW,Afriqiyah Airways
35,AAY,Allegiant Air
221,ABD,Air Atlanta Icelandic
5982,ABL,Air Busan
329,ABY,Air Arabia
330,ACA,Air Canada
139,ACI,Air Caledonie International
55,ACP,Astral Aviation
240,ADH,Air One
2765,ADO,Hokkaido International Airlines
83,ADR,Adria Airways
90,AEA,Air Europa
96,AEE,Aegean Airlines
106,AEL,Air Europe
109,AER,Alaska Central Express
116,AEY,Air Italy
125,AFG,Ariana Afghan Airlines
130,AFL,Aeroflot Russian Airlines
137,AFR,Air France
197,AHY,Azerbaijan Airlines
218,AIC,Air India Limited
4947,AIQ,Thai AirAsia
231,AIZ,Arkia Israel Airlines
19804,AL2,All America
4349,ALK,SriLankan Airlines
242,AMC,Air Malta
316,AMU,Air Macau
321,AMX,AeroMéxico
324,ANA,All Nippon Airways
328,ANG,Air Niugini
336,ANK,Air Nippon
338,ANO,Airnorth
341,ANT,Air North Charter - Canada
345,ANZ,Air New Zealand
397,APW,Arrow Air
410,ARD,Aerocondor
386,ARF,Aero Flight
412,ARG,Aerolineas Argentinas
439,ASA,Alaska Airlines
442,ASD,Air Sinai
19582,ASL,Air Serbia
462,ASZ,Astrakhan Airlines
476,ATM,Airlines Of Tasmania
491,AUA,Austrian Airlines
502,AUH,Abu Dhabi Amiri Flight
5282,AUI,Ukraine International Airlines
503,AUL,Aeroflot-Nord
508,AUR,Aurigny Air Services
515,AVA,Avianca - Aerovias Nacionales de Colombia
524,AVN,Air Vanuatu
17023,AWA,Asia Wings
16960,AWM,Asian Wings Airways
2857,AWQ,Indonesia AirAsia
563,AWU,Aeroline GmbH
569,AXB,Air India Express
576,AXM,AirAsia
14849,AXZ,Aereonautica militare
595,AYZ,Atlant-Soyuz Airlines
596,AZA,Alitalia
603,AZN,Amaszonas
13983,AZU,Azul
608,AZW,Air Zimbabwe
1355,BAW,British Airways
1359,BBC,Biman Bangladesh Airlines
2420,BBO,Flybaboo
4735,BBR,Santa Barbara Airlines
17408,BCC,BusinessAir
1792,BCY,CityJet
2421,BEE,Flybe
214,BER,Air Berlin
543,BGD,Air Bangladesh
1401,BHP,Belair Airlines
1403,BHS,Bahamasair
1422,BKP,Bangkok Airways
1434,BLS,Bearskin Lake Air Service
1441,BMI,bmibaby
132,BON,Air Bosna
683,BOT,Air Botswana
1463,BPA,Blue Panorama Airlines
1472,BRG,Bering Air
1478,BRU,Belavia Belarusian Airlines
333,BTI,Air Baltic
20565,BTQ,Boutique Air (Priv)
1500,BTV,Metro Batavia
220,BUB,Air Bourbon
16508,BUU,Baikotovitchestrian Airlines 
1508,BVT,Berjaya Air
1663,BWA,Caribbean Airlines
1756,CAL,China Airlines
1829,CAW,Comair
1682,CAY,Cayman Airways
751,CCA,Air China
1909,CCM,Corse-Mediterranee
4599,CDG,Shandong Airlines
753,CDP,Aero Condor Peru
1683,CEB,Cebu Pacific
1758,CES,China Eastern Airlines
1868,CFG,Condor Flugdienst
2942,CGP,Cargo Plus Aviation
12978,CHB,West Air China
2660,CHH,Hainan Airlines
1790,CIX,City Connexion Airlines
1889,CMP,Copa Airlines
