source_id,airport_code,name,airport_size
2402,GES,General Santos International Airport,medium_airport
2397,MNL,Ninoy Aquino International Airport,large_airport
3670,DFW,Dallas Fort Worth International Airport,large_airport
3988,EZE,Minister Pistarini International Airport,large_airport
3988,EZE,Minister Pistarini International Airport,large_airport
3797,JFK,John F Kennedy International Airport,large_airport
4362,ARH,Talagi Airport,medium_airport
4362,ARH,Talagi Airport,medium_airport
4362,ARH,Talagi Airport,medium_airport
6110,CSH,Solovki Airport,small_airport
2949,MMK,Murmansk Airport,medium_airport
2949,MMK,Murmansk Airport,medium_airport
663,TOS,"Tromsø Airport, Langnes",large_airport
4369,USK,Usinsk Airport,medium_airport
29,YBK,Baker Lake Airport,medium_airport
29,YBK,Baker Lake Airport,medium_airport
5487,YCS,Chesterfield Inlet Airport,small_airport
5487,YCS,Chesterfield Inlet Airport,small_airport
50,YEK,Arviat Airport,small_airport
50,YEK,Arviat Airport,small_airport
132,YRT,Rankin Inlet Airport,medium_airport
132,YRT,Rankin Inlet Airport,medium_airport
132,YRT,Rankin Inlet Airport,medium_airport
132,YRT,Rankin Inlet Airport,medium_airport
132,YRT,Rankin Inlet Airport,medium_airport
141,YTH,Thompson Airport,medium_airport
160,YWG,Winnipeg / James Armstrong Richardson International Airport,large_airport
160,YWG,Winnipeg / James Armstrong Richardson International Airport,large_airport
5534,YXN,Whale Cove Airport,small_airport
187,YYQ,Churchill Airport,medium_airport
187,YYQ,Churchill Airport,medium_airport
187,YYQ,Churchill Airport,medium_airport
187,YYQ,Churchill Airport,medium_airport
41,YZS,Coral Harbour Airport,medium_airport
41,YZS,Coral Harbour Airport,medium_airport
55,YFB,Iqaluit Airport,medium_airport
5509,YLC,Kimmirut Airport,small_airport
7177,ABL,Ambler Airport,medium_airport
7177,ABL,Ambler Airport,medium_airport
7220,AIN,Wainwright Airport,medium_airport
7220,AIN,Wainwright Airport,medium_airport
7217,AKI,Akiak Airport,small_airport
7217,AKI,Akiak Airport,small_airport
5967,ANI,Aniak Airport,medium_airport
5967,ANI,Aniak Airport,medium_airport
5967,ANI,Aniak Airport,medium_airport
5967,ANI,Aniak Airport,medium_airport
5967,ANI,Aniak Airport,medium_airport
6713,ANV,Anvik Airport,medium_airport
