flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-11,"Minneapolis, MN",650,-1.0,1034.0,DL,6,0,Minneapolis,44.97997,-93.26384,-6.0,4.3,16.2
2018-01-23,"Honolulu, HI",2200,-2.0,2994.0,DL,22,0,Honolulu,21.30694,-157.85834,23.2,0.1,22.6
2018-01-12,"Charlotte, NC",1810,-3.0,394.0,AA,18,0,Charlotte,35.22709,-80.84313,16.6,13.0,19.8
2018-01-22,"Hartford, CT",535,-5.0,549.0,DL,5,0,Hartford,41.76371,-72.68509,2.2,0.9,4.3
2018-01-02,"Corpus Christi, TX",1615,139.0,354.0,AA,16,1,Corpus Christi,27.80058,-97.39638,1.9,2.3,17.0
2018-01-22,"Detroit, MI",1955,30.0,502.0,DL,19,1,Detroit,42.33143,-83.04575,5.7,8.2,13.3
2018-01-11,"Atlanta, GA",1249,0.0,545.0,DL,12,0,Atlanta,33.749,-84.38798,13.0,5.3,17.5
2018-01-24,"Atlanta, GA",939,-4.0,620.0,DL,9,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
2018-01-21,"Minneapolis, MN",551,-8.0,334.0,AA,5,0,Minneapolis,44.97997,-93.26384,0.5,0.0,7.5
2018-01-01,"Houston, TX",835,4.0,677.0,WN,8,0,Houston,29.76328,-95.36327,2.6,0.0,22.8
2018-01-19,"Dallas/Fort Worth, TX",1920,-13.0,802.0,UA,19,0,Dallas/Fort Worth,32.89595,-97.0372,4.1,0.0,16.5
2018-01-22,"Baltimore, MD",1525,0.0,528.0,WN,15,0,Baltimore,39.29038,-76.61219,9.2,0.0,8.6
2018-01-27,"Orlando, FL",1235,-1.0,1011.0,WN,12,0,Orlando,28.53834,-81.37924,19.3,0.1,18.9
2018-01-31,"Des Moines, IA",605,-5.0,897.0,AA,6,0,Des Moines,41.60054,-93.60911,3.8,0.0,19.0
2018-01-16,"Charlotte, NC",1620,0.0,75.0,AA,16,0,Charlotte,35.22709,-80.84313,0.2,0.0,8.3
2018-01-28,"Kahului, HI",1203,-6.0,100.0,HA,12,0,Kahului,20.88953,-156.47432,22.5,0.6,12.9
2018-01-04,"Richmond, VA",850,54.0,970.0,DL,8,1,Richmond,37.55376,-77.46026,-3.2,8.0,20.5
2018-01-10,"Pensacola, FL",730,-10.0,604.0,AA,7,0,Pensacola,30.42131,-87.21691,16.9,0.0,18.7
2018-01-07,"Unalaska, AK",1025,-23.0,792.0,AS,10,0,Unalaska,53.87413,-166.53407,1.4,0.1,12.3
2018-01-13,"Bozeman, MT",725,-10.0,543.0,AS,7,0,Bozeman,45.67965,-111.03856,0.8,0.4,10.3
2018-01-23,"New York, NY",1425,118.0,419.0,DL,14,1,New York,40.71427,-74.00597,8.4,7.5,17.9
2018-01-24,"Atlanta, GA",1600,5.0,760.0,DL,16,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
2018-01-12,"Harrisburg, PA",1955,26.0,413.0,AA,19,1,Harrisburg,40.2737,-76.88442,14.1,9.4,17.5
2018-01-30,"New York, NY",1644,35.0,502.0,NK,16,1,New York,40.71427,-74.00597,0.6,2.4,15.8
2018-01-01,"Detroit, MI",1206,21.0,1123.0,DL,12,1,Detroit,42.33143,-83.04575,-17.0,0.0,13.3
2018-01-11,"Honolulu, HI",718,-7.0,216.0,HA,7,0,Honolulu,21.30694,-157.85834,22.8,0.0,13.2
2018-01-16,"Atlanta, GA",1150,27.0,591.0,WN,11,1,Atlanta,33.749,-84.38798,2.0,0.0,9.2
2018-01-11,"Atlanta, GA",1421,-2.0,591.0,DL,14,0,Atlanta,33.749,-84.38798,13.0,5.3,17.5
2018-01-31,"Richmond, VA",1754,45.0,456.0,DL,17,1,Richmond,37.55376,-77.46026,-2.1,0.0,10.4
2018-01-12,"Detroit, MI",1530,29.0,983.0,DL,15,1,Detroit,42.33143,-83.04575,3.9,14.1,28.0
2018-01-09,"Baltimore, MD",625,-1.0,1209.0,WN,6,0,Baltimore,39.29038,-76.61219,2.4,1.5,12.6
2018-01-01,"Atlanta, GA",2155,0.0,406.0,DL,21,0,Atlanta,33.749,-84.38798,-4.5,0.0,18.5
2018-01-12,"Minneapolis, MN",1350,0.0,1034.0,UA,13,0,Minneapolis,44.97997,-93.26384,-18.6,0.0,13.0
2018-01-03,"Detroit, MI",710,-2.0,1127.0,DL,7,0,Detroit,42.33143,-83.04575,-14.8,0.7,21.3
2018-01-14,"Atlanta, GA",1050,-1.0,508.0,DL,10,0,Atlanta,33.749,-84.38798,-3.5,0.0,11.7
2018-01-29,"Charlotte, NC",1316,-3.0,361.0,AA,13,0,Charlotte,35.22709,-80.84313,9.8,14.8,15.3
2018-01-24,"Atlanta, GA",725,-2.0,859.0,DL,7,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
