type,name,latitude,longitude,state_clean,city_clean,airport_code
small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,AK,Palmer,05AK
small_airport,Nunapitchuk Airport,60.905591,-162.440454,AK,Nunapitchuk,NUP
small_airport,Point Roberts Airpark,48.977316,-123.079294,WA,Point Roberts,K1RL
small_airport,Stanley Airport,44.2085,-114.934998,ID,Stanley,2U7
small_airport,Stuart Island West Airport,48.683991,-123.222849,WA,Friday Harbor,2WA3
small_airport,Matinicus Island Airport,43.871338,-68.893504,ME,Matinicus Island,35ME
small_airport,Blakely Island Airport,48.579162,-122.823844,WA,Blakely Island,BYW
small_airport,Atmautluak Airport,60.866699,-162.272996,AK,Atmautluak,ATT
small_airport,Pedro Bay Airport,59.796925,-154.129994,AK,Pedro Bay,PDB
small_airport,Ouzinkie Airport,57.942094,-152.464314,AK,Ouzinkie,KOZ
small_airport,Tununak Airport,60.569638,-165.246649,AK,Tununak,TNK
small_airport,Minto Al Wright Airport,65.147991,-149.368658,AK,Minto,MNT
small_airport,Islesboro Airport,44.302502,-68.910599,ME,Islesboro,57B
medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,AK,Aleknagik,WKK
small_airport,Welke Airport,45.720503,-85.518866,MI,Beaver Island,6Y8
small_airport,Center Island Airport,48.490046,-122.831612,WA,Center Island,CWS
small_airport,Tatitlek Airport,60.871449,-146.690297,AK,Tatitlek,TEK
small_airport,Stuart Island Airpark,48.673379,-123.175439,WA,Friday Harbor,SSW
small_airport,Kelleys Island Land Field,41.60296,-82.687054,OH,Kelleys Island,89D
small_airport,Lajitas International Airport,29.278,-103.686997,TX,Lajitas,KT89
small_airport,Waldron Airstrip,48.71141,-123.018208,WA,Eastsound,WDN
small_airport,Chuathbaluk Airport,61.579102,-159.216003,AK,Chuathbaluk,CHU
small_airport,Tuntutuliak Airport,60.351243,-162.654476,AK,Tuntutuliak,WTL
small_airport,Twin Hills Airport,59.074713,-160.274992,AK,Twin Hills,TWA
small_airport,Chignik Lake Airport,56.255001,-158.774994,AK,Chignik Lake,KCQ
small_airport,Crooked Creek Airport,61.870315,-158.137636,AK,Crooked Creek,CKD
small_airport,Chicken Airport,64.066495,-141.951342,AK,Chicken,CKX
small_airport,Goodnews Airport,59.117561,-161.575241,AK,Goodnews,GNU
medium_airport,Boulder City Municipal Airport,35.947161,-114.858799,NV,Boulder City,BLD
small_airport,Anacortes Airport,48.498513,-122.662513,WA,Anacortes,OTS
medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,PA,Allentown,ABE
medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,TX,Abilene,ABI
large_airport,Albuquerque International Sunport,35.039976,-106.608925,NM,Albuquerque,ABQ
medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,SD,Aberdeen,ABR
medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,GA,Albany,ABY
medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,MA,Nantucket,ACK
medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,TX,Waco,ACT
medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,CA,Arcata/Eureka,ACV
medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,NJ,Atlantic City,ACY
medium_airport,Double Eagle II Airport,35.145199,-106.794998,NM,Albuquerque,KAEG
medium_airport,Alexandria International Airport,31.3274,-92.549797,LA,Alexandria,AEX
medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,GA,Augusta,AGS
medium_airport,Alliance Municipal Airport,42.052543,-102.803965,NE,Alliance,AIA
medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,NY,Albany,ALB
medium_airport,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,IA,Waterloo,ALO
medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,CO,Alamosa,ALS
medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,WA,Walla Walla,ALW
medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,TX,Amarillo,AMA
medium_airport,Altoona Blair County Airport,40.296398,-78.32,PA,Altoona,AOO
medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,MI,Alpena,APN
medium_airport,Watertown International Airport,43.991901,-76.021698,NY,Watertown,ART
medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,CO,Aspen,ASE
large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,GA,Atlanta,ATL
large_airport,Appleton International Airport,44.258515,-88.519,WI,Appleton,ATW
medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,SD,Watertown,ATY
medium_airport,Augusta State Airport,44.3205986023,-69.7973022461,ME,Augusta,AUG
large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,TX,Austin,AUS
medium_airport,Asheville Regional Airport,35.436199,-82.541801,NC,Asheville,AVL
medium_airport,Wilkes Barre Scranton International Airport,41.3385009766,-75.72339630130001,PA,Wilkes-Barre/Scranton,AVP
medium_airport,Arlington Municipal Airport,48.161448,-122.158442,WA,Arlington,KAWO
medium_airport,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,MI,Kalamazoo,AZO
medium_airport,Branson Airport,36.532082,-93.200544,MO,Branson,BKG
large_airport,Bradley International Airport,41.93851,-72.688066,CT,Hartford,BDL
medium_airport,Laurence G Hanscom Field,42.470001,-71.289001,MA,Bedford,BED
medium_airport,Bradford Regional Airport,41.8031005859375,-78.64009857177734,PA,Bradford,BFD
medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,NE,Scottsbluff,BFF
medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,WA,Seattle,BFI
medium_airport,Meadows Field,35.433601,-119.056999,CA,Bakersfield,BFL
medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,NY,Binghamton,BGM
medium_airport,Bangor International Airport,44.8074,-68.828102,ME,Bangor,BGR
medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,ME,Bar Harbor,BHB
medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,AL,Birmingham,BHM
small_airport,Block Island State Airport,41.168446,-71.578631,RI,Block Island,BID
medium_airport,Eastern Sierra Regional Airport,37.3731,-118.363998,CA,Bishop,BIH
large_airport,Billings Logan International Airport,45.807824,-108.533667,MT,Billings,BIL
medium_airport,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,ND,Bismarck,BIS
medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,CO,Denver,BJC
medium_airport,Raleigh County Memorial Airport,37.7873,-81.124199,WV,Beaver,BKW
medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,WA,Bellingham,BLI
medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,IL,Belleville,BLV
medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,IL,Bloomington/Normal,BMI
large_airport,Nashville International Airport,36.1245,-86.6782,TN,Nashville,BNA
large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,ID,Boise,BOI
large_airport,Logan International Airport,42.36197,-71.0079,MA,Boston,BOS
medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,TX,Beaumont/Port Arthur,BPT
medium_airport,Brunswick Golden Isles Airport,31.258801,-81.466499,GA,Brunswick,BQK
medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,MN,Brainerd,BRD
