delayed,marketing_airline_network,airport_code,destcityname,distance,year,month,dayofmonth,day_of_week,hour,temp_mean,precipitation,wind_speed
0,AS,PDX,"Seattle, WA",207.60486,2023,4,28,4,18,-8.0,0.0,21.1
0,WN,BJC,"Oakland, CA",1540.13838,2018,1,30,1,22,-13.666666666666666,0.0,20.4
0,AA,BJC,"Dallas/Fort Worth, TX",1031.58694,2018,1,25,3,19,-18.61111111111111,0.0,16.6
1,UA,IAH,"Santa Ana, CA",2166.17164,2018,1,11,3,18,-11.61111111111111,4.5,32.6
0,UA,BJC,"Minneapolis, MN",1094.3512,2018,10,30,1,20,-15.277777777777779,4.5,14.0
0,DL,LEX,"Washington, DC",666.26676,2018,10,25,3,6,-13.027777777777779,0.0,12.1
0,AA,HOU,"Phoenix, AZ",1623.82406,2018,1,5,4,18,-13.722222222222221,0.0,11.3
1,WN,TPA,"Chicago, IL",1604.51198,2018,11,15,3,20,-7.000000000000001,2.2,32.8
0,UA,MLI,"Chicago, IL",223.69826,2018,10,26,4,12,-13.472222222222221,0.7,10.4
0,AS,BFI,"Santa Ana, CA",1573.93452,2018,1,11,3,19,-13.972222222222221,4.5,21.0
0,WN,SAV,"Nashville, TN",671.09478,2023,3,22,2,12,-8.472222222222221,2.5,16.3
0,DL,AUS,"Atlanta, GA",1308.39342,2023,2,8,2,10,-11.61111111111111,4.2,26.3
1,DL,RNO,"Salt Lake City, UT",679.14148,2023,4,3,0,13,-18.52777777777778,1.8,20.9
0,WN,SEA,"Oakland, CA",1081.47648,2023,4,9,6,5,-12.722222222222221,4.5,24.5
0,AA,PHL,"Chicago, IL",1091.1325199999999,2023,2,18,5,7,-16.583333333333332,0.0,24.1
0,UA,LAX,"Hayden, CO",1227.92642,2023,2,12,6,12,-12.166666666666666,0.6,29.2
0,WN,LAS,"Dallas, TX",1717.16578,2023,1,29,6,8,-13.694444444444445,0.0,25.0
0,UA,SFB,"San Francisco, CA",3176.83716,2023,2,7,1,8,-8.166666666666666,0.0,17.2
0,WN,DAL,"Midland/Odessa, TX",513.37946,2023,3,19,6,21,-15.0,0.0,16.3
0,UA,BOI,"San Francisco, CA",840.07548,2023,3,17,4,6,-16.11111111111111,0.0,15.5
0,WN,LGA,"Dallas, TX",2222.49854,2023,2,24,4,11,-16.75,0.0,33.9
0,WN,PHX,"Albuquerque, NM",527.86352,2023,2,20,0,7,-8.61111111111111,0.0,9.2
1,HA,LIH,"Honolulu, HI",164.15268,2023,4,28,4,16,-5.333333333333334,4.5,19.7
0,UA,DCA,"Burlington, VT",709.71894,2023,1,12,3,12,-13.305555555555555,4.5,17.1
0,AA,ORD,"Mosinee, WI",342.78942,2023,4,24,0,19,-14.86111111111111,0.6,17.9
1,DL,MCI,"Detroit, MI",1012.27486,2023,1,11,2,17,-15.61111111111111,0.8,24.5
0,WN,PHX,"Albuquerque, NM",527.86352,2018,10,4,3,16,-4.305555555555555,0.4,12.7
0,DL,CMH,"Detroit, MI",249.4477,2018,1,9,1,17,-17.63888888888889,0.0,11.4
1,DL,PDK,"Green Bay, WI",1245.62916,2018,12,14,4,20,-12.777777777777779,4.5,27.3
0,DL,SLC,"Lewiston, ID",741.90574,2018,1,4,3,22,-18.97222222222222,0.0,12.9
0,AA,PHX,"Des Moines, IA",1849.13166,2018,12,30,6,9,-13.61111111111111,0.0,13.1
0,UA,DEN,"Moab, UT",455.44322,2018,11,5,0,8,-14.63888888888889,0.3,23.0
0,DL,SLC,"Boston, MA",3176.83716,2018,11,9,4,9,-17.38888888888889,0.0,10.2
